         t            r          psi           cs           qs            p          sig            A            V            Q           s1
0.00000000   0.00000000  -1.57079633  -1.22314742  -0.00000000   4.96733334  -2.76323595   0.00000000   0.00000000   0.00000000   8.20893770
0.00010000   0.00082089  -1.56979225  -1.22314742  -0.00073567   4.96733334  -2.76323595   0.00000212   0.00000000   0.00000000   8.20893770
0.00020000   0.00164179  -1.56878818  -1.22314742  -0.00147133   4.96733334  -2.76323595   0.00000847   0.00000000   0.00000000   8.20893770
0.00030000   0.00246268  -1.56778410  -1.22314742  -0.00220700   4.96733334  -2.76323595   0.00001905   0.00000000   0.00000000   8.20893770
0.00040000   0.00328357  -1.56678003  -1.22314742  -0.00294267   4.96733334  -2.76323595   0.00003387   0.00000000   0.00000000   8.20893770
0.00050000   0.00410445  -1.56577596  -1.22314742  -0.00367834   4.96733334  -2.76323595   0.00005293   0.00000000   0.00000000   8.20893770
0.00060000   0.00492533  -1.56477188  -1.22314742  -0.00441400   4.96733334  -2.76323595   0.00007621   0.00000000   0.00000000   8.20893770
0.00070000   0.00574621  -1.56376781  -1.22314742  -0.00514967   4.96733334  -2.76323595   0.00010373   0.00000000   0.00000000   8.20893770
0.00080000   0.00656708  -1.56276373  -1.22314742  -0.00588534   4.96733334  -2.76323595   0.00013549   0.00000000   0.00000000   8.20893770
0.00090000   0.00738794  -1.56175966  -1.22314742  -0.00662100   4.96733334  -2.76323595   0.00017148   0.00000000   0.00000000   8.20893770
0.00100000   0.00820880  -1.56075559  -1.22314742  -0.00735667   4.96733334  -2.76323595   0.00021170   0.00000000   0.00000000   8.20893770
0.00110000   0.00902965  -1.55975151  -1.22314742  -0.00809234   4.96733334  -2.76323595   0.00025616   0.00000001   0.00000000   8.20893770
0.00120000   0.00985049  -1.55874744  -1.22314742  -0.00882801   4.96733334  -2.76323595   0.00030485   0.00000001   0.00000000   8.20893770
0.00130000   0.01067132  -1.55774336  -1.22314742  -0.00956367   4.96733334  -2.76323595   0.00035777   0.00000001   0.00000000   8.20893770
0.00140000   0.01149213  -1.55673929  -1.22314742  -0.01029934   4.96733334  -2.76323595   0.00041493   0.00000002   0.00000000   8.20893770
0.00150000   0.01231294  -1.55573522  -1.22314742  -0.01103501   4.96733334  -2.76323595   0.00047632   0.00000002   0.00000000   8.20893770
0.00160000   0.01313374  -1.55473114  -1.22314742  -0.01177067   4.96733334  -2.76323595   0.00054194   0.00000003   0.00000000   8.20893770
0.00170000   0.01395452  -1.55372707  -1.22314742  -0.01250634   4.96733334  -2.76323595   0.00061180   0.00000004   0.00000000   8.20893770
0.00180000   0.01477528  -1.55272299  -1.22314742  -0.01324201   4.96733334  -2.76323595   0.00068589   0.00000005   0.00000000   8.20893770
0.00190000   0.01559604  -1.55171892  -1.22314742  -0.01397768   4.96733334  -2.76323595   0.00076422   0.00000006   0.00000000   8.20893770
0.00200000   0.01641677  -1.55071484  -1.22314742  -0.01471334   4.96733334  -2.76323595   0.00084678   0.00000007   0.00000000   8.20893770
0.00210000   0.01723749  -1.54971077  -1.22314742  -0.01544901   4.96733334  -2.76323595   0.00093357   0.00000009   0.00000000   8.20893770
0.00220000   0.01805819  -1.54870670  -1.22314742  -0.01618468   4.96733334  -2.76323595   0.00102459   0.00000010   0.00000000   8.20893770
0.00230000   0.01887888  -1.54770262  -1.22314742  -0.01692034   4.96733334  -2.76323595   0.00111985   0.00000012   0.00000000   8.20893770
0.00240000   0.01969954  -1.54669855  -1.22314742  -0.01765601   4.96733334  -2.76323595   0.00121934   0.00000014   0.00000000   8.20893770
0.00250000   0.02052019  -1.54569447  -1.22314742  -0.01839168   4.96733334  -2.76323595   0.00132306   0.00000017   0.00000000   8.20893770
0.00260000   0.02134081  -1.54469040  -1.22314742  -0.01912735   4.96733334  -2.76323595   0.00143102   0.00000020   0.00000000   8.20893770
0.00270000   0.02216142  -1.54368633  -1.22314742  -0.01986301   4.96733334  -2.76323595   0.00154321   0.00000023   0.00000000   8.20893770
0.00280000   0.02298200  -1.54268225  -1.22314742  -0.02059868   4.96733334  -2.76323595   0.00165963   0.00000027   0.00000000   8.20893770
0.00290000   0.02380256  -1.54167818  -1.22314742  -0.02133435   4.96733334  -2.76323595   0.00178028   0.00000031   0.00000000   8.20893770
0.00300000   0.02462309  -1.54067410  -1.22314742  -0.02207001   4.96733334  -2.76323595   0.00190517   0.00000035   0.00000000   8.20893770
0.00310000   0.02544360  -1.53967003  -1.22314742  -0.02280568   4.96733334  -2.76323595   0.00203429   0.00000040   0.00000000   8.20893770
0.00320000   0.02626408  -1.53866596  -1.22314742  -0.02354135   4.96733334  -2.76323595   0.00216764   0.00000046   0.00000000   8.20893770
0.00330000   0.02708454  -1.53766188  -1.22314742  -0.02427702   4.96733334  -2.76323595   0.00230522   0.00000052   0.00000000   8.20893770
0.00340000   0.02790497  -1.53665781  -1.22314742  -0.02501268   4.96733334  -2.76323595   0.00244703   0.00000058   0.00000000   8.20893770
0.00350000   0.02872537  -1.53565373  -1.22314742  -0.02574835   4.96733334  -2.76323595   0.00259308   0.00000065   0.00000000   8.20893770
0.00360000   0.02954574  -1.53464966  -1.22314742  -0.02648402   4.96733334  -2.76323595   0.00274335   0.00000073   0.00000000   8.20893770
0.00370000   0.03036608  -1.53364559  -1.22314742  -0.02721968   4.96733334  -2.76323595   0.00289786   0.00000082   0.00000000   8.20893770
0.00380000   0.03118640  -1.53264151  -1.22314742  -0.02795535   4.96733334  -2.76323595   0.00305660   0.00000091   0.00000000   8.20893770
0.00390000   0.03200668  -1.53163744  -1.22314742  -0.02869102   4.96733334  -2.76323595   0.00321957   0.00000101   0.00000000   8.20893770
0.00400000   0.03282692  -1.53063336  -1.22314742  -0.02942669   4.96733334  -2.76323595   0.00338677   0.00000112   0.00000000   8.20893770
0.00410000   0.03364714  -1.52962929  -1.22314742  -0.03016235   4.96733334  -2.76323595   0.00355820   0.00000123   0.00000000   8.20893770
0.00420000   0.03446732  -1.52862521  -1.22314742  -0.03089802   4.96733334  -2.76323595   0.00373386   0.00000136   0.00000000   8.20893770
0.00430000   0.03528747  -1.52762114  -1.22314742  -0.03163369   4.96733334  -2.76323595   0.00391375   0.00000149   0.00000000   8.20893770
0.00440000   0.03610758  -1.52661707  -1.22314742  -0.03236935   4.96733334  -2.76323595   0.00409787   0.00000163   0.00000000   8.20893770
0.00450000   0.03692765  -1.52561299  -1.22314742  -0.03310502   4.96733334  -2.76323595   0.00428622   0.00000179   0.00000000   8.20893770
0.00460000   0.03774769  -1.52460892  -1.22314742  -0.03384069   4.96733334  -2.76323595   0.00447881   0.00000195   0.00000000   8.20893770
