           t           r         psi          cs          qs               p             sig           A           V           Q           S
    0.000000    0.000000   -1.570796   -1.332103    0.000000        7.644118       -4.099237    0.000000    0.000000    0.000000    3.949555
    0.000500    0.001975   -1.568166   -1.332103   -0.003236        7.644118       -4.099237    0.000012    0.000000    0.000000    3.949555
    0.001000    0.003950   -1.565535   -1.332103   -0.006472        7.644118       -4.099237    0.000049    0.000000    0.000000    3.949555
    0.001500    0.005924   -1.562905   -1.332103   -0.009707        7.644118       -4.099237    0.000110    0.000000    0.000000    3.949555
    0.002000    0.007899   -1.560274   -1.332103   -0.012943        7.644118       -4.099237    0.000196    0.000000    0.000000    3.949555
    0.002500    0.009874   -1.557643   -1.332103   -0.016179        7.644118       -4.099237    0.000306    0.000000    0.000000    3.949555
    0.003000    0.011848   -1.555013   -1.332103   -0.019415        7.644118       -4.099237    0.000441    0.000000    0.000000    3.949555
    0.003500    0.013823   -1.552382   -1.332103   -0.022650        7.644118       -4.099237    0.000600    0.000000    0.000000    3.949555
    0.004000    0.015797   -1.549751   -1.332103   -0.025886        7.644118       -4.099237    0.000784    0.000000    0.000000    3.949555
    0.004500    0.017771   -1.547121   -1.332103   -0.029122        7.644118       -4.099237    0.000992    0.000000    0.000000    3.949555
    0.005000    0.019745   -1.544490   -1.332103   -0.032358        7.644118       -4.099237    0.001225    0.000000    0.000000    3.949555
    0.005500    0.021720   -1.541860   -1.332047   -0.035594        7.644118       -4.099237    0.001482    0.000000    0.000000    3.949555
    0.006000    0.023693   -1.539229   -1.331980   -0.038830        7.644118       -4.099237    0.001764    0.000000    0.000000    3.949555
    0.006500    0.025667   -1.536599   -1.331912   -0.042065        7.644118       -4.099237    0.002070    0.000000    0.000000    3.949555
    0.007000    0.027641   -1.533969   -1.331840   -0.045300        7.644118       -4.099237    0.002401    0.000001    0.000000    3.949555
    0.007500    0.029614   -1.531339   -1.331765   -0.048535        7.644118       -4.099237    0.002756    0.000001    0.000000    3.949555
    0.008000    0.031587   -1.528709   -1.331686   -0.051769        7.644118       -4.099237    0.003136    0.000001    0.000000    3.949555
    0.008500    0.033560   -1.526079   -1.331604   -0.055003        7.644118       -4.099237    0.003540    0.000001    0.000000    3.949555
    0.009000    0.035533   -1.523450   -1.331517   -0.058236        7.644118       -4.099237    0.003969    0.000002    0.000000    3.949555
    0.009500    0.037505   -1.520820   -1.331425   -0.061469        7.644118       -4.099237    0.004422    0.000002    0.000000    3.949555
    0.010000    0.039477   -1.518191   -1.331330   -0.064701        7.644118       -4.099237    0.004899    0.000003    0.000000    3.949555
    0.010500    0.041449   -1.515562   -1.331229   -0.067932        7.644118       -4.099237    0.005402    0.000003    0.000000    3.949555
    0.011000    0.043421   -1.512933   -1.331125   -0.071163        7.644118       -4.099237    0.005928    0.000004    0.000000    3.949555
    0.011500    0.045392   -1.510305   -1.331015   -0.074393        7.644118       -4.099237    0.006479    0.000004    0.000000    3.949555
    0.012000    0.047363   -1.507676   -1.330901   -0.077623        7.644118       -4.099237    0.007054    0.000005    0.000000    3.949555
    0.012500    0.049334   -1.505048   -1.330783   -0.080852        7.644118       -4.099237    0.007654    0.000006    0.000000    3.949555
    0.013000    0.051304   -1.502420   -1.330660   -0.084080        7.644118       -4.099237    0.008279    0.000007    0.000000    3.949555
    0.013500    0.053274   -1.499793   -1.330532   -0.087308        7.644118       -4.099237    0.008928    0.000008    0.000000    3.949555
    0.014000    0.055244   -1.497165   -1.330399   -0.090535        7.644118       -4.099237    0.009601    0.000010    0.000000    3.949555
    0.014500    0.057213   -1.494538   -1.330262   -0.093761        7.644118       -4.099237    0.010298    0.000011    0.000000    3.949555
    0.015000    0.059182   -1.491912   -1.330120   -0.096986        7.644118       -4.099237    0.011021    0.000013    0.000000    3.949555
    0.015500    0.061150   -1.489285   -1.329973   -0.100210        7.644118       -4.099237    0.011767    0.000015    0.000000    3.949555
    0.016000    0.063118   -1.486659   -1.329822   -0.103434        7.644118       -4.099237    0.012538    0.000017    0.000000    3.949555
    0.016500    0.065086   -1.484033   -1.329666   -0.106656        7.644118       -4.099237    0.013333    0.000019    0.000000    3.949555
    0.017000    0.067053   -1.481407   -1.329505   -0.109878        7.644118       -4.099237    0.014153    0.000021    0.000000    3.949555
    0.017500    0.069020   -1.478782   -1.329339   -0.113099        7.644118       -4.099237    0.014997    0.000024    0.000000    3.949555
    0.018000    0.070986   -1.476157   -1.329169   -0.116318        7.644118       -4.099237    0.015866    0.000027    0.000000    3.949555
    0.018500    0.072952   -1.473532   -1.328994   -0.119537        7.644118       -4.099237    0.016759    0.000030    0.000000    3.949555
    0.019000    0.074917   -1.470908   -1.328814   -0.122755        7.644118       -4.099237    0.017676    0.000033    0.000000    3.949555
    0.019500    0.076881   -1.468284   -1.328630   -0.125972        7.644118       -4.099237    0.018618    0.000037    0.000000    3.949555
    0.020000    0.078846   -1.465660   -1.328440   -0.129187        7.644118       -4.099237    0.019584    0.000041    0.000000    3.949555
    0.020500    0.080809   -1.463037   -1.328246   -0.132402        7.644118       -4.099237    0.020575    0.000045    0.000000    3.949555
    0.021000    0.082772   -1.460414   -1.328047   -0.135615        7.644118       -4.099237    0.021590    0.000049    0.000000    3.949555
    0.021500    0.084735   -1.457792   -1.327844   -0.138827        7.644118       -4.099237    0.022629    0.000054    0.000000    3.949555
    0.022000    0.086697   -1.455170   -1.327635   -0.142038        7.644118       -4.099237    0.023692    0.000059    0.000000    3.949555
    0.022500    0.088658   -1.452548   -1.327422   -0.145248        7.644118       -4.099237    0.024780    0.000065    0.000000    3.949555
    0.023000    0.090619   -1.449927   -1.327205   -0.148457        7.644118       -4.099237    0.025892    0.000071    0.000000    3.949555
    0.023500    0.092579   -1.447307   -1.326982   -0.151664        7.644118       -4.099237    0.027029    0.000077    0.000000    3.949555
    0.024000    0.094538   -1.444686   -1.326755   -0.154870        7.644118       -4.099237    0.028190    0.000084    0.000000    3.949555
    0.024500    0.096497   -1.442067   -1.326522   -0.158075        7.644118       -4.099237    0.029375    0.000091    0.000000    3.949555
    0.025000    0.098455   -1.439447   -1.326286   -0.161278        7.644118       -4.099237    0.030584    0.000099    0.000000    3.949555
    0.025500    0.100412   -1.436828   -1.326044   -0.164480        7.644118       -4.099237    0.031818    0.000107    0.000000    3.949555
    0.026000    0.102369   -1.434210   -1.325798   -0.167681        7.644118       -4.099237    0.033076    0.000116    0.000000    3.949555
    0.026500    0.104325   -1.431592   -1.325547   -0.170880        7.644118       -4.099237    0.034359    0.000125    0.000000    3.949555
    0.027000    0.106280   -1.428975   -1.325291   -0.174078        7.644118       -4.099237    0.035665    0.000134    0.000000    3.949555
    0.027500    0.108235   -1.426358   -1.325030   -0.177274        7.644118       -4.099237    0.036996    0.000144    0.000000    3.949555
    0.028000    0.110189   -1.423741   -1.324765   -0.180468        7.644118       -4.099237    0.038351    0.000155    0.000000    3.949555
    0.028500    0.112142   -1.421125   -1.324495   -0.183662        7.644118       -4.099237    0.039730    0.000167    0.000000    3.949555
    0.029000    0.114094   -1.418510   -1.324220   -0.186853        7.644118       -4.099237    0.041134    0.000178    0.000000    3.949555
    0.029500    0.116046   -1.415895   -1.323941   -0.190043        7.644118       -4.099237    0.042562    0.000191    0.000000    3.949555
    0.030000    0.117996   -1.413281   -1.323656   -0.193231        7.644118       -4.099237    0.044014    0.000204    0.000000    3.949555
    0.030500    0.119946   -1.410668   -1.323367   -0.196418        7.644118       -4.099237    0.045490    0.000218    0.000000    3.949555
    0.031000    0.121895   -1.408054   -1.323074   -0.199603        7.644118       -4.099237    0.046990    0.000233    0.000000    3.949555
    0.031500    0.123844   -1.405442   -1.322775   -0.202786        7.644118       -4.099237    0.048515    0.000248    0.000000    3.949555
